scenario_source,scenario,sector,technology,region,year,tmsr,smsp
geco_2021,1.5c,power,coalcap,algeria and libya,2031,17.657101025517374,0.0011147257964113082
geco_2021,1.5c,power,gascap,algeria and libya,2031,0.8484123689154892,-0.1285391201038318
geco_2021,1.5c,power,hydrocap,algeria and libya,2031,1.2899683870534946,0.0028044868958513065
geco_2021,1.5c,power,nuclearcap,algeria and libya,2031,338.3306404602843,0.04197802142737538
geco_2021,1.5c,power,oilcap,algeria and libya,2031,0.9813159100767712,-0.0023020975678222496
geco_2021,1.5c,power,renewablescap,algeria and libya,2031,28.067014927902246,0.5135350231587346
geco_2021,1.5c,power,coalcap,algeria and libya,2032,20.300718684530477,0.0012916418633689348
geco_2021,1.5c,power,gascap,algeria and libya,2032,0.8441369019318201,-0.1321645132852017
geco_2021,1.5c,power,hydrocap,algeria and libya,2032,1.3295921697058168,0.0031877161862635646
geco_2021,1.5c,power,nuclearcap,algeria and libya,2032,427.53120482756265,0.05307829739766466
geco_2021,1.5c,power,oilcap,algeria and libya,2032,1.0066115249093428,8.146169000434736e-4
geco_2021,1.5c,power,renewablescap,algeria and libya,2032,36.24060625700771,0.6686103214013664
geco_2021,1.5c,power,coalcap,algeria and libya,2033,22.94433634354358,0.0014685579303265611
geco_2021,1.5c,power,gascap,algeria and libya,2033,0.8398614349481512,-0.13578990646657146
geco_2021,1.5c,power,hydrocap,algeria and libya,2033,1.369215952358139,0.003570945476675824
geco_2021,1.5c,power,nuclearcap,algeria and libya,2033,516.7317691948409,0.06417857336795393
geco_2021,1.5c,power,oilcap,algeria and libya,2033,1.0319071397419144,0.003931331367909211
geco_2021,1.5c,power,renewablescap,algeria and libya,2033,44.41419758611318,0.8236856196439982
geco_2021,1.5c,power,coalcap,algeria and libya,2034,25.587954002556685,0.001645473997284188
geco_2021,1.5c,power,gascap,algeria and libya,2034,0.8355859679644824,-0.13941529964794125
geco_2021,1.5c,power,hydrocap,algeria and libya,2034,1.4088397350104613,0.003954174767088082
geco_2021,1.5c,power,nuclearcap,algeria and libya,2034,605.9323335621193,0.07527884933824322
geco_2021,1.5c,power,oilcap,algeria and libya,2034,1.0572027545744858,0.00704804583577492
geco_2021,1.5c,power,renewablescap,algeria and libya,2034,52.58778891521865,0.9787609178866301
geco_2021,1.5c,power,coalcap,algeria and libya,2035,28.23157166156979,0.0018223900642418145
geco_2021,1.5c,power,gascap,algeria and libya,2035,0.8313105009808135,-0.14304069282931103
geco_2021,1.5c,power,hydrocap,algeria and libya,2035,1.4484635176627834,0.00433740405750034
geco_2021,1.5c,power,nuclearcap,algeria and libya,2035,695.1328979293976,0.08637912530853249
