scenario_source,region,scenario,sector,technology,year,smsp,tmsr
weo_2022,advanced economies,aps,power,nuclearcap,2023,-8.609911360959952e-6,0.9998929855874519
weo_2022,advanced economies,aps,power,oilcap,2023,-0.002877247878733083,0.9324643267003011
weo_2022,advanced economies,aps,power,renewablescap,2023,0.058034185038065005,1.1795645869646294
weo_2022,advanced economies,aps,power,coalcap,2024,-0.019265906657490943,0.8569383332838607
weo_2022,advanced economies,aps,power,gascap,2024,-0.0033898451015446905,0.98750171477289606
weo_2022,advanced economies,aps,power,hydrocap,2024,0.002770546477224004,1.0187384314622632
weo_2022,advanced economies,aps,power,nuclearcap,2024,-1.7219822721919904e-5,0.9997859711749036
weo_2022,advanced economies,aps,power,oilcap,2024,-0.005754495757466174,0.864928653400602
weo_2022,advanced economies,aps,power,renewablescap,2024,0.11606837007613001,1.359129173929259
weo_2022,advanced economies,aps,power,coalcap,2025,-0.02889885998623643,0.7854074999257908
weo_2022,advanced economies,aps,power,gascap,2025,-0.005084767652317019,0.981252572159344
weo_2022,advanced economies,aps,power,hydrocap,2025,0.004155819715836021,1.0281076471933948
weo_2022,advanced economies,aps,power,nuclearcap,2025,-2.5829734082879854e-5,0.9996789567623555
weo_2022,advanced economies,aps,power,oilcap,2025,-0.008631743636199264,0.797392980100903
weo_2022,advanced economies,aps,power,renewablescap,2025,0.174102555114195,1.5386937608938887
weo_2022,advanced economies,aps,power,coalcap,2026,-0.038531813314981914,0.713876666567721
weo_2022,advanced economies,aps,power,gascap,2026,-0.006779690203089381,0.975003429545792
weo_2022,advanced economies,aps,power,hydrocap,2026,0.005541092954448008,1.0374768629245261
weo_2022,advanced economies,aps,power,nuclearcap,2026,-3.4439645443855535e-5,0.9995719423498071
weo_2022,advanced economies,aps,power,oilcap,2026,-0.011508991514932355,0.7298573068012039
weo_2022,advanced economies,aps,power,renewablescap,2026,0.23213674015226007,1.718258347858518
weo_2022,advanced economies,aps,power,coalcap,2027,-0.04816476664372739,0.6423458332096514
weo_2022,advanced economies,aps,power,gascap,2027,-0.00847461275386171,0.9687542869322401
weo_2022,advanced economies,aps,power,hydrocap,2027,0.006926366193060025,1.0468460786556577
weo_2022,advanced economies,aps,power,nuclearcap,2027,-4.304955680481549e-5,0.9994649279372589
weo_2022,advanced economies,aps,power,oilcap,2027,-0.014386239393665437,0.662321633501505
weo_2022,advanced economies,aps,power,renewablescap,2027,0.290170925190325,1.8978229348231475
weo_2022,advanced economies,aps,power,coalcap,2028,-0.05779771997247287,0.5708149998515816
weo_2022,advanced economies,aps,power,gascap,2028,-0.010169535304634039,0.9625051443186882
weo_2022,advanced economies,aps,power,hydrocap,2028,0.008311639431672043,1.0562152943867895
weo_2022,advanced economies,aps,power,nuclearcap,2028,-5.165946816577544e-5,0.9993579135247108
weo_2022,advanced economies,aps,power,oilcap,2028,-0.01726348727239853,0.5947859602018059
weo_2022,advanced economies,aps,power,renewablescap,2028,0.3482051102283901,2.0773875217877773
weo_2022,advanced economies,aps,power,coalcap,2029,-0.06743067330121834,0.4992841664935119
weo_2022,advanced economies,aps,power,gascap,2029,-0.0118644578554064,0.956256001705136
weo_2022,advanced economies,aps,power,hydrocap,2029,0.009696912670284028,1.0655845101179209
weo_2022,advanced economies,aps,power,nuclearcap,2029,-6.026937952673539e-5,0.9992508991121626
weo_2022,advanced economies,aps,power,oilcap,2029,-0.020140735151131618,0.527250286902107
weo_2022,advanced economies,aps,power,renewablescap,2029,0.406239295266455,2.2569521087524063
weo_2022,advanced economies,aps,power,coalcap,2030,-0.07706362662996383,0.42775333313544206
weo_2022,advanced economies,aps,power,gascap,2030,-0.013559380406178729,0.9500068590915841
weo_2022,advanced economies,aps,power,hydrocap,2030,0.011082185908896047,1.0749537258490525
weo_2022,advanced economies,aps,power,nuclearcap,2030,-6.887929088769535e-5,0.9991438846996145
weo_2022,advanced economies,aps,power,oilcap,2030,-0.023017983029864707,0.45971461360240784
weo_2022,advanced economies,aps,power,renewablescap,2030,0.46427348030452015,2.436516695717036
weo_2022,africa,aps,power,coalcap,2022,0,1
weo_2022,africa,aps,power,gascap,2022,0,1
weo_2022,africa,aps,power,hydrocap,2022,0,1
weo_2022,africa,aps,power,nuclearcap,2022,0,1
weo_2022,africa,aps,power,oilcap,2022,0,1
weo_2022,africa,aps,power,renewablescap,2022,0,1
weo_2022,africa,aps,power,coalcap,2023,-0.005008912861856399,0.9709637102173817
weo_2022,africa,aps,power,gascap,2023,0.005990675182973547,1.0148838277072592
weo_2022,africa,aps,power,hydrocap,2023,0.011411543214867332,1.0794467674493404
weo_2022,africa,aps,power,nuclearcap,2023,0.001001012562707663,1.1296111665004986
weo_2022,africa,aps,power,oilcap,2023,1.193514978613045e-4,1.0008084706864178
weo_2022,africa,aps,power,renewablescap,2023,0.06145832130193233,1.487717690192484
weo_2022,africa,aps,power,coalcap,2024,-0.010017825723712822,0.9419274204347633
weo_2022,africa,aps,power,gascap,2024,0.011981350365947094,1.0297676554145185
weo_2022,africa,aps,power,hydrocap,2024,0.022823086429734664,1.158893534898681
weo_2022,africa,aps,power,nuclearcap,2024,0.0020020251254153246,1.259222333000997
weo_2022,africa,aps,power,oilcap,2024,2.3870299572258436e-4,1.0016169413728353
weo_2022,africa,aps,power,renewablescap,2024,0.12291664260386467,1.975435380384968
weo_2022,africa,aps,power,coalcap,2025,-0.015026738585569245,0.9128911306521448
weo_2022,africa,aps,power,gascap,2025,0.01797202554892064,1.0446514831217777
weo_2022,africa,aps,power,hydrocap,2025,0.03423462964460202,1.2383403023480217
weo_2022,africa,aps,power,nuclearcap,2025,0.0030030376881229857,1.3888334995014955
weo_2022,africa,aps,power,oilcap,2025,3.580544935838889e-4,1.002425412059253
weo_2022,africa,aps,power,renewablescap,2025,0.18437496390579697,2.4631530705774516
weo_2022,africa,aps,power,coalcap,2026,-0.020035651447425643,0.8838548408695265
weo_2022,africa,aps,power,gascap,2026,0.023962700731894188,1.0595353108290368
weo_2022,africa,aps,power,hydrocap,2026,0.045646172859469376,1.3177870697973626
weo_2022,africa,aps,power,nuclearcap,2026,0.004004050250830649,1.5184446660019941
weo_2022,africa,aps,power,oilcap,2026,4.774059914451934e-4,1.0032338827456708
weo_2022,africa,aps,power,renewablescap,2026,0.24583328520772932,2.9508707607699356
weo_2022,africa,aps,power,coalcap,2027,-0.025044564309282067,0.8548185510869081
weo_2022,africa,aps,power,gascap,2027,0.029953375914867734,1.074419138536296
weo_2022,africa,aps,power,hydrocap,2027,0.05705771607433671,1.397233837246703
weo_2022,africa,aps,power,nuclearcap,2027,0.00500506281353831,1.6480558325024925
weo_2022,africa,aps,power,oilcap,2027,5.967574893064978e-4,1.0040423534320886
weo_2022,africa,aps,power,renewablescap,2027,0.3072916065096616,3.438588450962419
weo_2022,africa,aps,power,coalcap,2028,-0.03005347717113849,0.8257822613042896
weo_2022,africa,aps,power,gascap,2028,0.03594405109784128,1.0893029662435554
weo_2022,africa,aps,power,hydrocap,2028,0.06846925928920407,1.4766806046960437
weo_2022,africa,aps,power,nuclearcap,2028,0.0060060753762459715,1.777666999002991
weo_2022,africa,aps,power,oilcap,2028,7.161089871677778e-4,1.0048508241185061
weo_2022,africa,aps,power,renewablescap,2028,0.36874992781159394,3.926306141154903
weo_2022,africa,aps,power,coalcap,2029,-0.03506239003299489,0.7967459715216714
weo_2022,africa,aps,power,gascap,2029,0.04193472628081483,1.1041867939508145
weo_2022,africa,aps,power,hydrocap,2029,0.0798808025040714,1.5561273721453843
weo_2022,africa,aps,power,nuclearcap,2029,0.007007087938953635,1.9072781655034898
weo_2022,africa,aps,power,oilcap,2029,8.354604850290822e-4,1.0056592948049239
weo_2022,africa,aps,power,renewablescap,2029,0.43020824911352623,4.414023831347387
weo_2022,africa,aps,power,coalcap,2030,-0.040071302894851314,0.7677096817390529
weo_2022,africa,aps,power,gascap,2030,0.047925401463788375,1.1190706216580737
weo_2022,africa,aps,power,hydrocap,2030,0.09129234571893875,1.635574139594725
weo_2022,africa,aps,power,nuclearcap,2030,0.008008100501661296,2.0368893320039883
weo_2022,africa,aps,power,oilcap,2030,9.548119828903868e-4,1.0064677654913416
weo_2022,africa,aps,power,renewablescap,2030,0.49166657041545864,4.901741521539871
weo_2022,asia pacific,aps,power,coalcap,2022,0,1
weo_2022,asia pacific,aps,power,gascap,2022,0,1
weo_2022,asia pacific,aps,power,hydrocap,2022,0,1
weo_2022,asia pacific,aps,power,nuclearcap,2022,0,1
weo_2022,asia pacific,aps,power,oilcap,2022,0,1
weo_2022,asia pacific,aps,power,renewablescap,2022,0,1
weo_2022,asia pacific,aps,power,coalcap,2023,0.003591461685110542,1.009108205919826
weo_2022,asia pacific,aps,power,gascap,2023,0.0013300720749498348,1.012727230907237
weo_2022,asia pacific,aps,power,hydrocap,2023,0.004089838089097751,1.0279001040355216
weo_2022,asia pacific,aps,power,nuclearcap,2023,0.0018832004418616946,1.0595528678451676
weo_2022,asia pacific,aps,power,oilcap,2023,-8.46919387483112e-4,0.9652827957695593
weo_2022,asia pacific,aps,power,renewablescap,2023,0.05751573517997902,1.192632401902816
weo_2022,asia pacific,aps,power,coalcap,2024,0.007182923370221029,1.0182164118396517
weo_2022,asia pacific,aps,power,gascap,2024,0.002660144149899656,1.0254544618144739
weo_2022,asia pacific,aps,power,hydrocap,2024,0.008179676178195474,1.055800208071043
